key,cz
Task.Unit.Cultiway.DailyXianCultivate,日常修炼(仙路)
Task.Unit.Cultiway.DailyPlantXianCultivate,日常修炼(仙路)
Task.Unit.Cultiway.DailyEnvironmentalCultivate,寻觅灵地修炼
Task.Unit.Cultiway.DailyMagicMeditate,魔法冥想
Task.Unit.Cultiway.DailyKnightTrain,骑士操练
Task.Unit.Cultiway.CultivationProgression,尝试突破
Task.Unit.Cultiway.ExecuteCollectiveProject,执行集体工程
Task.Unit.Cultiway.ExecuteEmergencyCollectiveProject,处理应急工程
Task.Unit.Cultiway.CoordinatedActivity,参与协调行动
Task.Unit.Cultiway.StudyMagicWeb,研究魔网
Task.Unit.Cultiway.StudyMagicScroll,研读魔法卷轴
Task.Unit.Cultiway.ImproveMagicSpell,研究法术改进
Task.Unit.Cultiway.LookForHerbs,寻找药草
Task.Unit.Cultiway.CraftElixir,炼制丹药
Task.Unit.Cultiway.FindNewElixir,研究新丹方
Task.Unit.Cultiway.CraftTalisman,绘制符箓
Task.Unit.Cultiway.CraftMagicScroll,制作魔法卷轴
Task.Unit.Cultiway.CraftArtifact,炼制法器
Task.Unit.Cultiway.CreateCultibook,创造功法
Task.Unit.Cultiway.ImproveCultibook,改进功法
Task.Unit.Cultiway.BuildSect,建立宗门
Task.Unit.Cultiway.EvaluateSectPersonnel,评定宗门人事
Task.Unit.Cultiway.RecruitSectMember,招揽入宗
Task.Unit.Cultiway.StudySectScripture,研读宗门藏书
Task.Unit.Cultiway.DoSectChore,处理宗门杂务
Task.Unit.Cultiway.OrganizeSectScripture,整理宗门藏经阁
Task.Unit.Cultiway.LectureSectCultibook,宗门讲法
Task.Unit.Cultiway.SectLecture.Recruiting,筹备宗门讲法
Task.Unit.Cultiway.SectLecture.AssemblingLecturer,等待听众到场
Task.Unit.Cultiway.SectLecture.Accepting,应邀听讲
Task.Unit.Cultiway.SectLecture.AssemblingAudience,前往宗门讲法
Task.Unit.Cultiway.SectLecture.Listening,聆听宗门讲法
Task.Unit.Cultiway.WriteCultibook,誊抄功法
Task.Unit.Cultiway.WriteElixirbook,誊抄丹方
Task.Unit.Cultiway.WriteSkillbook,誊抄术法
Task.Unit.Cultiway.CallSourceSpawner,召唤仪式
Task.Unit.Cultiway.CoordinateSkavenPack,执行鼠群调度
Task.Unit.Cultiway.Skaven.Guard,留守鼠巢
Task.Unit.Cultiway.Skaven.Patrol,随鼠群巡逻
Task.Unit.Cultiway.Skaven.Defend,响应鼠巢动员
Task.Unit.Cultiway.Chaos.Warband,执行混沌战帮调度
Task.Unit.Cultiway.SwitchCultibook,转修功法
Task.Unit.Cultiway.TravelToCity,旅游
Task.Unit.Cultiway.FindSectJob,领取宗门事务
Task.Unit.Cultiway.TryBuildSectBuilding,准备修建宗门建筑
Task.Unit.Cultiway.BuildSectBuilding,修建宗门建筑
Task.Unit.Cultiway.RecruitApprentice,收徒
Task.Unit.Cultiway.TeachApprentice,传授弟子
Task.Unit.Cultiway.SeekMaster,寻师
Task.Unit.Cultiway.FollowMaster,跟随师傅
Task.Unit.Cultiway.ContributeSectTreasure,贡献宗门物品
Task.Unit.Cultiway.ClaimSectTreasure,领取宗门物品
Task.Unit.Cultiway.TacticalCombat,战术交战
Task.Unit.Cultiway.TacticalCombat.Movement.Observe,观察战场
Task.Unit.Cultiway.TacticalCombat.Movement.Advance,接近目标
Task.Unit.Cultiway.TacticalCombat.Movement.Reposition,调整战斗位置
Task.Unit.Cultiway.TacticalCombat.Movement.Regroup,向友军集结
Task.Unit.Cultiway.TacticalCombat.Movement.Retreat,撤离战场
Task.Unit.Cultiway.TacticalCombat.Movement.Assist,支援友军
Task.Unit.Cultiway.TacticalCombat.Movement.Protect,保护友军
Task.Unit.Cultiway.TacticalCombat.Movement.Hold,坚守阵地
Task.Unit.Cultiway.TacticalCombat.Action.Ready,等待出手时机
Task.Unit.Cultiway.TacticalCombat.Action.PrepareAttack,准备攻击
Task.Unit.Cultiway.TacticalCombat.Action.PrepareDefense,准备防御
Task.Unit.Cultiway.TacticalCombat.Action.PrepareControl,准备控制
Task.Unit.Cultiway.TacticalCombat.Action.PrepareSupport,准备支援
Task.Unit.Cultiway.TacticalCombat.Action.Attack,攻击目标
Task.Unit.Cultiway.TacticalCombat.Action.Defend,构筑防御
Task.Unit.Cultiway.TacticalCombat.Action.Control,控制敌人
Task.Unit.Cultiway.TacticalCombat.Action.Support,施以支援
