key,cz
Cultiway.Enlighten,悟道
Cultiway.Enlighten.Description,临时提升悟性，助修士参透玄奥之机
Cultiway.Slow,减速
Cultiway.Slow.Description,临时降低速度，使其行动迟缓
Cultiway.Burn,灼烧
Cultiway.Burn.Description,附加火焰灼伤，持续掉血
Cultiway.Poison,中毒
Cultiway.Poison.Description,附加剧毒，定时掉血且可叠加多层
Cultiway.Freeze,冰冻
Cultiway.Freeze.Description,暂时无法行动
Cultiway.Weaken,衰弱
Cultiway.Weaken.Description,临时降低攻击能力
Cultiway.ArmorBreak,破甲
Cultiway.ArmorBreak.Description,临时降低护甲
Cultiway.Daze,懵逼
Cultiway.Daze.Description,短暂硬直，无法行动
Cultiway.Silence,封印
Cultiway.Silence.Description,临时封禁法术、技能与法器主动能力
Cultiway.Concealed,隐匿
Cultiway.Concealed.Description,隐藏自身气息，使普通敌人无法锁定为攻击目标
Cultiway.Imprisoned,禁锢
Cultiway.Imprisoned.Description,被法器镇住实体，暂时无法移动或行动
Cultiway.LayeredWard,层界护障
Cultiway.LayeredWard.Description,由重叠空间形成的临时防护屏障
Cultiway.DeathSentence,终焉死亡
Cultiway.DeathSentence.Description,被终焉标记，生命垂危时更容易被斩杀
Cultiway.EternalCurse,永世诅咒
Cultiway.EternalCurse.Description,持续受到诅咒伤害并被削弱攻防
